1 4534.75  sell  2023.07.16 22:00:22 1689544822231
4 4534.75  sell  2023.07.16 22:00:22 1689544822231
1 4534.75  sell  2023.07.16 22:00:22 1689544822231
1 4534.75  sell  2023.07.16 22:00:22 1689544822231
1 4534.75  sell  2023.07.16 22:00:22 1689544822444
1 4534.75  sell  2023.07.16 22:00:22 1689544822444
1 4534.75  sell  2023.07.16 22:00:22 1689544822444
1 4534.75  sell  2023.07.16 22:00:22 1689544822444
1 4534.75  buy  2023.07.16 22:00:22 1689544822444
1 4534.75  buy  2023.07.16 22:00:22 1689544822493
3 4534.75  buy  2023.07.16 22:00:23 1689544823022
1 4534.75  buy  2023.07.16 22:00:23 1689544823967
1 4534.75  buy  2023.07.16 22:00:23 1689544823967
1 4534.75  buy  2023.07.16 22:00:23 1689544823967
1 4534.75  buy  2023.07.16 22:00:23 1689544823967
9 4534.75  buy  2023.07.16 22:00:23 1689544823967
1 4534.75  buy  2023.07.16 22:00:23 1689544823967
1 4534.75  buy  2023.07.16 22:00:23 1689544823967
1 4534.75  buy  2023.07.16 22:00:23 1689544823967
1 4534.75  buy  2023.07.16 22:00:23 1689544823967
1 4535.0  buy  2023.07.16 22:00:23 1689544823967
1 4535.0  buy  2023.07.16 22:00:24 1689544824553
1 4535.0  buy  2023.07.16 22:00:24 1689544824721
1 4535.0  buy  2023.07.16 22:00:26 1689544826034
2 4535.0  buy  2023.07.16 22:00:26 1689544826034
1 4535.0  buy  2023.07.16 22:00:26 1689544826377
1 4535.0  buy  2023.07.16 22:00:26 1689544826377
1 4535.0  buy  2023.07.16 22:00:26 1689544826377
1 4535.0  buy  2023.07.16 22:00:26 1689544826429
3 4535.0  buy  2023.07.16 22:00:26 1689544826656
1 4535.0  buy  2023.07.16 22:00:27 1689544827360
4 4535.0  buy  2023.07.16 22:00:28 1689544828024
2 4535.0  buy  2023.07.16 22:00:28 1689544828260
20 4535.0  buy  2023.07.16 22:00:28 1689544828633
6 4535.0  buy  2023.07.16 22:00:28 1689544828633
4 4535.0  buy  2023.07.16 22:00:28 1689544828633
1 4535.0  buy  2023.07.16 22:00:28 1689544828633
1 4535.0  buy  2023.07.16 22:00:28 1689544828639
1 4535.0  buy  2023.07.16 22:00:28 1689544828639
1 4535.0  buy  2023.07.16 22:00:28 1689544828639
3 4535.0  buy  2023.07.16 22:00:28 1689544828639
1 4534.75  sell  2023.07.16 22:00:29 1689544829779
1 4534.75  sell  2023.07.16 22:00:29 1689544829779
1 4535.0  buy  2023.07.16 22:00:30 1689544830487
1 4535.0  buy  2023.07.16 22:00:30 1689544830487
1 4535.0  buy  2023.07.16 22:00:30 1689544830487
1 4535.0  buy  2023.07.16 22:00:30 1689544830487
1 4535.0  buy  2023.07.16 22:00:30 1689544830487
4 4535.0  buy  2023.07.16 22:00:30 1689544830487
3 4535.0  buy  2023.07.16 22:00:30 1689544830487
1 4535.0  buy  2023.07.16 22:00:30 1689544830487
1 4535.0  buy  2023.07.16 22:00:30 1689544830487
1 4535.0  buy  2023.07.16 22:00:30 1689544830487
1 4535.0  sell  2023.07.16 22:00:30 1689544830864
2 4535.0  sell  2023.07.16 22:00:30 1689544830864
1 4535.0  sell  2023.07.16 22:00:30 1689544830864
1 4535.25  buy  2023.07.16 22:00:30 1689544830864
1 4535.25  buy  2023.07.16 22:00:30 1689544830864
1 4535.25  buy  2023.07.16 22:00:30 1689544830864
1 4535.25  buy  2023.07.16 22:00:30 1689544830864
2 4535.25  buy  2023.07.16 22:00:30 1689544830864
1 4535.25  buy  2023.07.16 22:00:30 1689544830864
1 4535.5  buy  2023.07.16 22:00:31 1689544831487
1 4535.5  buy  2023.07.16 22:00:31 1689544831487
1 4535.25  sell  2023.07.16 22:00:31 1689544831524
1 4535.5  buy  2023.07.16 22:00:31 1689544831657
1 4535.5  buy  2023.07.16 22:00:31 1689544831657
1 4535.25  sell  2023.07.16 22:00:31 1689544831771
2 4535.25  sell  2023.07.16 22:00:31 1689544831771
1 4535.25  sell  2023.07.16 22:00:33 1689544833063
1 4535.0  sell  2023.07.16 22:00:33 1689544833585
1 4535.5  buy  2023.07.16 22:00:34 1689544834447
1 4535.5  buy  2023.07.16 22:00:34 1689544834447
1 4535.5  buy  2023.07.16 22:00:34 1689544834447
1 4535.5  buy  2023.07.16 22:00:34 1689544834447
1 4535.5  buy  2023.07.16 22:00:34 1689544834447
1 4535.5  buy  2023.07.16 22:00:34 1689544834447
1 4535.5  buy  2023.07.16 22:00:34 1689544834447
2 4535.5  buy  2023.07.16 22:00:34 1689544834447
1 4535.5  buy  2023.07.16 22:00:34 1689544834447
4 4535.5  buy  2023.07.16 22:00:34 1689544834447
1 4535.5  buy  2023.07.16 22:00:34 1689544834447
1 4535.5  buy  2023.07.16 22:00:34 1689544834447
4 4535.5  sell  2023.07.16 22:00:34 1689544834447
1 4535.5  sell  2023.07.16 22:00:34 1689544834447
2 4535.5  buy  2023.07.16 22:00:36 1689544836841
1 4535.5  buy  2023.07.16 22:00:36 1689544836841
1 4535.5  sell  2023.07.16 22:00:37 1689544837195
11 4535.5  sell  2023.07.16 22:00:37 1689544837195
1 4535.5  sell  2023.07.16 22:00:37 1689544837195
2 4535.5  sell  2023.07.16 22:00:37 1689544837195
1 4535.25  sell  2023.07.16 22:00:37 1689544837199
1 4535.25  sell  2023.07.16 22:00:37 1689544837199
1 4535.25  sell  2023.07.16 22:00:37 1689544837199
1 4535.0  sell  2023.07.16 22:00:37 1689544837469
4 4535.0  sell  2023.07.16 22:00:37 1689544837896
1 4535.0  sell  2023.07.16 22:00:37 1689544837896
1 4535.0  sell  2023.07.16 22:00:38 1689544838531
1 4535.0  sell  2023.07.16 22:00:38 1689544838531
1 4535.0  sell  2023.07.16 22:00:38 1689544838531
1 4535.0  sell  2023.07.16 22:00:38 1689544838531
2 4535.0  buy  2023.07.16 22:00:38 1689544838661
1 4535.0  buy  2023.07.16 22:00:38 1689544838661
1 4535.0  sell  2023.07.16 22:00:38 1689544838810
1 4534.75  sell  2023.07.16 22:00:39 1689544839298
1 4534.75  sell  2023.07.16 22:00:39 1689544839357
1 4535.0  buy  2023.07.16 22:00:39 1689544839600
1 4534.75  sell  2023.07.16 22:00:40 1689544840734
1 4534.75  sell  2023.07.16 22:00:40 1689544840734
1 4535.0  buy  2023.07.16 22:00:40 1689544840940
4 4534.75  sell  2023.07.16 22:00:41 1689544841370
1 4534.75  sell  2023.07.16 22:00:41 1689544841370
1 4534.75  sell  2023.07.16 22:00:41 1689544841370
1 4534.75  sell  2023.07.16 22:00:41 1689544841370
1 4534.75  sell  2023.07.16 22:00:41 1689544841370
1 4534.75  sell  2023.07.16 22:00:41 1689544841370
1 4534.75  sell  2023.07.16 22:00:41 1689544841370
1 4534.75  sell  2023.07.16 22:00:41 1689544841370
1 4534.5  sell  2023.07.16 22:00:41 1689544841581
1 4534.5  sell  2023.07.16 22:00:41 1689544841581
1 4534.5  sell  2023.07.16 22:00:41 1689544841850
8 4534.5  sell  2023.07.16 22:00:41 1689544841850
6 4534.5  sell  2023.07.16 22:00:41 1689544841850
4 4534.5  sell  2023.07.16 22:00:41 1689544841850
1 4534.5  sell  2023.07.16 22:00:41 1689544841850
1 4534.5  sell  2023.07.16 22:00:41 1689544841850
1 4534.5  sell  2023.07.16 22:00:41 1689544841850
1 4534.5  sell  2023.07.16 22:00:41 1689544841850
1 4534.25  sell  2023.07.16 22:00:43 1689544843027
1 4534.25  sell  2023.07.16 22:00:43 1689544843241
1 4534.25  sell  2023.07.16 22:00:43 1689544843241
1 4534.25  sell  2023.07.16 22:00:43 1689544843241
1 4534.25  sell  2023.07.16 22:00:43 1689544843241
4 4534.25  sell  2023.07.16 22:00:43 1689544843241
4 4534.25  sell  2023.07.16 22:00:43 1689544843241
4 4534.25  sell  2023.07.16 22:00:43 1689544843241
4 4534.25  sell  2023.07.16 22:00:43 1689544843241
1 4534.25  sell  2023.07.16 22:00:43 1689544843241
3 4534.25  sell  2023.07.16 22:00:43 1689544843241
1 4534.25  sell  2023.07.16 22:00:43 1689544843241
1 4534.25  sell  2023.07.16 22:00:43 1689544843241
5 4534.25  sell  2023.07.16 22:00:43 1689544843241
1 4534.25  sell  2023.07.16 22:00:43 1689544843241
1 4534.25  sell  2023.07.16 22:00:43 1689544843241
1 4534.25  buy  2023.07.16 22:00:44 1689544844024
3 4534.25  buy  2023.07.16 22:00:44 1689544844024
1 4534.25  buy  2023.07.16 22:00:45 1689544845529
1 4534.0  sell  2023.07.16 22:00:45 1689544845600
1 4534.0  sell  2023.07.16 22:00:45 1689544845600
1 4534.0  sell  2023.07.16 22:00:45 1689544845600
1 4534.0  sell  2023.07.16 22:00:45 1689544845600
1 4534.0  sell  2023.07.16 22:00:45 1689544845600
2 4534.0  sell  2023.07.16 22:00:45 1689544845600
1 4534.0  sell  2023.07.16 22:00:45 1689544845600
1 4534.0  sell  2023.07.16 22:00:45 1689544845600
2 4534.0  sell  2023.07.16 22:00:45 1689544845600
1 4534.0  sell  2023.07.16 22:00:45 1689544845600
1 4534.0  sell  2023.07.16 22:00:45 1689544845600
1 4534.0  sell  2023.07.16 22:00:45 1689544845600
1 4533.75  sell  2023.07.16 22:00:47 1689544847824
4 4533.75  sell  2023.07.16 22:00:47 1689544847824
1 4533.75  sell  2023.07.16 22:00:47 1689544847824
1 4533.75  sell  2023.07.16 22:00:47 1689544847824
1 4533.75  sell  2023.07.16 22:00:47 1689544847824
1 4533.5  sell  2023.07.16 22:00:50 1689544850304
1 4533.5  sell  2023.07.16 22:00:50 1689544850304
4 4533.5  sell  2023.07.16 22:00:50 1689544850304
1 4533.5  sell  2023.07.16 22:00:50 1689544850304
1 4533.5  sell  2023.07.16 22:00:50 1689544850304
1 4533.5  sell  2023.07.16 22:00:50 1689544850304
1 4533.5  sell  2023.07.16 22:00:50 1689544850304
1 4533.5  sell  2023.07.16 22:00:50 1689544850304
1 4533.5  sell  2023.07.16 22:00:50 1689544850304
1 4533.5  sell  2023.07.16 22:00:50 1689544850304
1 4533.5  buy  2023.07.16 22:00:50 1689544850372
1 4533.5  buy  2023.07.16 22:00:50 1689544850372
2 4533.5  buy  2023.07.16 22:00:50 1689544850372
1 4533.5  buy  2023.07.16 22:00:50 1689544850373
1 4533.75  buy  2023.07.16 22:00:50 1689544850409
1 4533.75  buy  2023.07.16 22:00:50 1689544850409
1 4533.75  buy  2023.07.16 22:00:50 1689544850409
1 4533.75  buy  2023.07.16 22:00:50 1689544850409
7 4533.75  buy  2023.07.16 22:00:50 1689544850411
1 4533.75  buy  2023.07.16 22:00:50 1689544850411
2 4533.75  buy  2023.07.16 22:00:50 1689544850411
1 4533.75  buy  2023.07.16 22:00:50 1689544850460
1 4534.0  buy  2023.07.16 22:00:51 1689544851252
1 4534.0  buy  2023.07.16 22:00:51 1689544851941
1 4533.75  sell  2023.07.16 22:00:52 1689544852388
1 4533.75  sell  2023.07.16 22:00:52 1689544852388
2 4533.75  sell  2023.07.16 22:00:52 1689544852388
1 4533.75  sell  2023.07.16 22:00:52 1689544852388
1 4533.75  sell  2023.07.16 22:00:52 1689544852783
1 4533.75  sell  2023.07.16 22:00:52 1689544852783
1 4534.0  buy  2023.07.16 22:00:52 1689544852976
1 4534.0  buy  2023.07.16 22:00:52 1689544852976
1 4534.0  buy  2023.07.16 22:00:52 1689544852976
1 4534.0  buy  2023.07.16 22:00:52 1689544852976
1 4534.0  buy  2023.07.16 22:00:52 1689544852976
1 4534.25  buy  2023.07.16 22:00:52 1689544852979
1 4534.25  buy  2023.07.16 22:00:52 1689544852979
1 4534.5  buy  2023.07.16 22:00:53 1689544853700
1 4534.25  sell  2023.07.16 22:00:53 1689544853852
2 4534.25  sell  2023.07.16 22:00:54 1689544854114
1 4534.25  sell  2023.07.16 22:00:54 1689544854114
1 4534.25  sell  2023.07.16 22:00:54 1689544854114
1 4534.25  sell  2023.07.16 22:00:54 1689544854114
2 4534.25  buy  2023.07.16 22:00:54 1689544854284
2 4534.5  buy  2023.07.16 22:00:55 1689544855049
5 4534.5  buy  2023.07.16 22:00:55 1689544855049
1 4534.5  buy  2023.07.16 22:00:55 1689544855049
1 4534.5  buy  2023.07.16 22:00:55 1689544855049
1 4534.5  buy  2023.07.16 22:00:55 1689544855049
1 4534.5  buy  2023.07.16 22:00:55 1689544855049
1 4534.5  buy  2023.07.16 22:00:55 1689544855049
1 4534.5  sell  2023.07.16 22:00:55 1689544855242
